authors,title
Thomas Furse,"Guy Fawkes Failed. But in the U.K., He Still Has His Night."
Elisabetta Povoledo,Berlusconi’s Comeback Hopes Buoyed by Sicily Election Results
"Raphael Minder,Milan Schreuer",Spain Issues Arrest Warrant for Ousted Catalan Leader
Neil Macfarquhar,Trump and Putin Explore Meeting on Sidelines of Asia Summit
Liam Stack,Language Dispute Blocks Path Out of Crisis in Northern Ireland
Miroslava Germanova,Slovakia Deals Setback to Neo-Fascist Candidate
Elisabetta Povoledo,"At Vatican, ‘Tenets of Faith’ Seen as Crucial in Climate Change Effort"
"Carlotta Gall,The Saturday Profile",‘I Could Not Forget What Happened to Me That Night With Him’
Milan Schreuer,Puigdemont and Other Catalonia Separatists Report to Belgian Police
Andrew E. Kramer,Hundreds Arrested as Group Urges New Russian Revolution
David D. Kirkpatrick,Parliament Asks Twitter About Russian Meddling in Brexit Vote
Matthew Luxmoore,"In Russian City, a Time Capsule to Comrades of the Future"
Stephen Castle,"As Wild Salmon Decline, Norway Pressures Its Giant Fish Farms"
"Julie Hirschfeld Davis,David E. Sanger,Glenn Thrush",Trump Questions Putin on Election Meddling at Eagerly Awaited Encounter
"Peter Baker,Sophia Kishkovsky","Trump Signs Russian Sanctions Into Law, With Caveats"
Julie Hirschfeld Davis,"Trump and Putin Held a Second, Undisclosed, Private Conversation"
Peter Baker,Trump Praises Putin Instead of Critiquing Cuts to U.S. Embassy Staff
Stephen Castle,Where Burning Effigies (Not Just Guy Fawkes’s) Is Part of the Fun
Jason Horowitz,Sicily’s Political Theater Has Colorful Cast and Big Implications
"Megan Specia,Rick Gladstone,Raphael Minder",Spain Is a Collection of Glued Regions. Or Maybe Not So Glued.
The New York Times,"Catalonia’s Independence Showdown With Spain, in Photographs"
"Steven Erlanger,Raphael Minder","From Brussels, the Deposed Leader of Catalonia Pleads With a Wary Europe"
Raphael Minder,Spanish Judge Jails 8 Catalan Separatists Before Trial
Sarah Lyall,"On Irish Border, Worries That ‘Brexit’ Will Undo a Hard-Won Peace"
Ed O Loughlin,Guilty Plea by Ulster Loyalist May Shed Light on Police Collusion
Patrick Kingsley,A New Street Was Meant to Bridge Belfast’s Sectarian Divide. Then the Doorbell Rang.
Miroslava Germanova,Slovakia’s Governing Party Loses Majority as Far Right Makes Gains
Rick Lyman,"Once in the Shadows, Europe’s Neo-Fascists Are Re-emerging"
Neil Macfarquhar,"Right-Wing Groups Find a Haven, for a Day, in Russia"
Steven Erlanger,Not Even a Prosperous Slovakia Is Immune to Doubts About the E.U.
"Ellen Barry,The Saturday Profile",The Latest Populist Craze in Britain: An Unabashed Elitist
"Raphael Minder,Patrick Kingsley",Spain Dismisses Catalonia Government After Region Declares Independence
"Raphael Minder,Patrick Kingsley,Kimiko De Freytas-Tamura",Catalonia’s Ousted Leader Calls for Peaceful Defiance
Neil Macfarquhar,‘Revolution? What Revolution?’ Russia Asks 100 Years Later
Neil Macfarquhar,"Russia’s Villages, and Their Way of Life, Are ‘Melting Away’"
Neil Macfarquhar,"For Russia, Trump-Putin Meeting Is a Sure Winner"
Neil Macfarquhar,"After Russia’s Retaliation, Embassy Workers Brace for a ‘Shock to the System’"
Bryant Rousseau,Vladimir Putin’s Summer Vacation: A Siberia Scrapbook
Jason Horowitz,With Success Comes Dissension in Italy’s Five Star Movement
Jason Horowitz,"With Italy No Longer in U.S. Focus, Russia Swoops to Fill the Void"
Neil Macfarquhar,Russia Seizes 2 U.S. Properties and Orders Embassy to Cut Staff
Jason Horowitz,"In Italian Schools, Reading, Writing and Recognizing Fake News"
Raphael Minder,"In Catalonia Crisis, Shared Blame for ‘a Difficult and Undesirable Situation’"
Ed O Loughlin,"Britain’s Election: What the D.U.P. Is, and What It Wants"
Stephen Castle,U.K. to Fund Abortions in England for Women From Northern Ireland
Raphael Minder,Crisis in Catalonia: The Independence Vote and Its Fallout
The Associated Press,Slovakia: Pessimism Over Migrants
Miroslava Germanova,Robert Fico Retains Power in Slovakia With New Coalition
Miroslava Germanova,A Renewed Cafe Culture Perks Up Bratislava’s Old Town
Nina Siegal,"Geert Wilders, Dutch Far-Right Leader, Is Convicted of Inciting Discrimination"
Neil Macfarquhar,"Where the Booze Can Kill, and Putin Is Deemed a ‘Good Czar’"
"Raphael Minder,Ellen Barry",Catalonia’s Independence Vote Descends Into Chaos and Clashes
Stephen Castle,"As ‘Brexit’ Clock Ticks, U.K. Seems Adrift"
Raphael Minder,Article 155: The ‘Nuclear Option’ That Could Let Spain Seize Catalonia
Andrew Higgins,Russia Looks to Populate Its Far East. Wimps Need Not Apply.
David E. Sanger,"For Trump and Putin, Sanctions Are a Setback Both Sought to Avoid"
"Steven Erlanger,Neil Macfarquhar","E.U. Is Uneasy, and Divided, About U.S. Sanctions on Russia"
Patrick Kingsley,Barcelona: A Global City in the Eye of a Separatist Storm
Carlotta Gall,‘I Could Not Forget What Happened to Me That Night With Him’
Matt Flegenheimer,"Key Senator Drops Objection, Clearing Way for Russia Sanctions"
Neil Macfarquhar,Lawmakers in Russia Call for Retaliation Against New U.S. Sanctions
Jason Horowitz,Spread of Fake News Provokes Anxiety in Italy
Steven Erlanger,"For E.U., Catalonia Pits Democratic Rights Against Sovereignty"
Andrew Higgins,Putin Derides Sanctions and Trump Investigations as ‘Boorishness’
Raphael Minder,King of Spain Forcefully Denounces Catalan ‘Disloyalty’
"Robert Mackey,Open Source","Merkel Urges Germans to See Migrants as ‘an Opportunity,’ Not a Threat"
Melissa Eddy,Cologne Mayor’s ‘Arm’s Length’ Advice on Sexual Attacks Stirs Outcry
Katrin Bennhold,"On Perilous Migrant Trail, Women Often Become Prey to Sexual Abuse"
Raphael Minder,Spain Sets Stage to Take Control of Catalonia in Independence Fight
Melissa Eddy,Reports of Attacks on Women in Germany Heighten Tension Over Migrants
Patrick Kingsley,Spain’s Opposition Backs Effort to Suspend Catalan Autonomy
"Ron Nixon,Andrew E. Kramer",NBCUniversal Executive Is Denied Entry Into Russia
The New York Times,Trump Presses Putin on Russian Meddling in U.S. Election
"Katrin Bennhold,Steven Erlanger",A Perplexing Election Leaves U.K. Divided and Confused
Ivan Nechepurenko,New Spies Went for a Joyride in Moscow. Russia Isn’t Happy.
Raphael Minder,"Spain Will Remove Catalonia Leader, Escalating Secession Crisis"
"Steven Erlanger,Julie Hirschfeld Davis","Once Dominant, the United States Finds Itself Isolated at G-20"
"Patrick Kingsley,Raphael Minder",Catalonia Independence Fight Produces Some Odd Bedfellows
Raphael Minder,"Spanish Women, Advancing in Politics, Still Battle Sexism"
"Andrew Higgins,Mike Mcintire,Gabriel J.X. Dance",Inside a Fake News Sausage Factory: ‘This Is All About Income’
"Gardiner Harris,Melissa Eddy","Obama, With Angela Merkel in Berlin, Assails Spread of Fake News"
"Raphael Minder,Ellen Barry",Catalonia’s Independence Vote Descends Into Chaos and Clashes
Sewell Chan,How a Record Number of Migrants Made Their Way to Europe
Andrew Higgins,E.U. Suspects Russian Agenda in Migrants’ Shifting Arctic Route
Melissa Eddy,German Charged in Attack on Mayoral Candidate Over Refugee Work
Axel,Migrants Find an Edge in Germany’s Economy Through Language
"Gardiner Harris,Melissa Eddy","Obama, With Angela Merkel in Berlin, Assails Spread of Fake News"
"Alison Smale,Claire Cain Miller",Germany Sets Gender Quota in Boardrooms
Raphael Minder,Catalonia Leaders Seek to Make Independence Referendum Binding
Raphael Minder,Spain Asks Catalonia: Did You Declare Independence or Not?
Raphael Minder,Catalan Leaders Accuse Madrid of Killing Chance of Talks
Liam Stack,What Is a Hung Parliament? What Does It Mean for Britain?
